Sun Apr 22 11:28:09 2018

Number of Points = 2995
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
2.918018	1.547328	0.000000	0.000001	0.482987

2.918043	1.546975	0.005005	0.000001	0.482987
2.868397	1.563781	0.010010	0.000010	0.482974
2.891551	1.498951	0.015014	0.000005	0.482809
2.720165	1.525412	0.020019	0.000037	0.482668
2.846531	1.434079	0.025024	0.000014	0.482556
2.595335	1.475431	0.030029	0.000060	0.482357
2.712600	1.372502	0.035034	0.000038	0.482197
2.690409	1.294240	0.040038	0.000042	0.481932
2.685376	1.221963	0.045043	0.000043	0.481708
2.625522	1.147821	0.050048	0.000054	0.481406
2.600726	1.058432	0.055053	0.000059	0.481103
2.541193	0.971583	0.060058	0.000070	0.480763
2.572947	0.835143	0.065062	0.000064	0.480390
2.451195	0.758082	0.070067	0.000086	0.479999
2.380016	0.673142	0.075072	0.000099	0.479649
2.306062	0.556451	0.080077	0.000113	0.479198
2.319786	0.426788	0.085082	0.000110	0.478821
2.239365	0.324007	0.090086	0.000125	0.478403
2.254289	0.150708	0.095091	0.000122	0.477894
2.010741	0.107664	0.100096	0.000168	0.477446
1.869169	0.021487	0.105101	0.000194	0.476998
1.637377	-0.014323	0.110106	0.000237	0.476586
1.643773	-0.131553	0.115110	0.000236	0.476236
1.411649	-0.177877	0.120115	0.000279	0.475790
1.217356	-0.211714	0.125120	0.000315	0.475432
0.572115	-0.010406	0.130125	0.000435	0.475205
0.390602	0.034150	0.135130	0.000468	0.475105
0.098196	0.088453	0.140134	0.000523	0.474889
0.533306	-0.093215	0.145139	0.000442	0.474902
0.162415	-0.030825	0.150144	0.000510	0.474608
0.351264	-0.133225	0.155149	0.000475	0.474541
-0.094304	-0.031811	0.160154	0.000558	0.474269
0.032716	-0.110617	0.165158	0.000534	0.474194
-0.171678	-0.097584	0.170163	0.000572	0.473966
0.112381	-0.271801	0.175168	0.000519	0.473803
0.020052	-0.337371	0.180173	0.000536	0.473480
-0.207015	-0.329912	0.185178	0.000578	0.473205
-0.828864	-0.119748	0.190182	0.000694	0.473035
-0.582614	-0.253951	0.195187	0.000648	0.472946
-0.723831	-0.264240	0.200192	0.000674	0.472729
-0.677704	-0.358485	0.205197	0.000666	0.472499
-1.188053	-0.168704	0.210202	0.000760	0.472413
-1.308608	-0.129031	0.215206	0.000783	0.472377
-1.443305	-0.156690	0.220211	0.000808	0.472115
-1.298357	-0.216497	0.225216	0.000781	0.472122
-1.667334	-0.063186	0.230221	0.000849	0.472109
-1.848858	-0.055119	0.235226	0.000883	0.471895
-2.112979	0.068427	0.240230	0.000932	0.471929
-1.939808	0.012399	0.245235	0.000899	0.471985
-2.220357	0.117747	0.250240	0.000952	0.471942
-2.015600	-0.015144	0.255245	0.000913	0.471801
-1.832013	-0.111732	0.260250	0.000879	0.471746
-2.258059	-0.009849	0.265254	0.000958	0.471499
-2.422008	0.056247	0.270259	0.000989	0.471487
-2.267502	-0.028533	0.275264	0.000960	0.471430
-2.280305	-0.103030	0.280269	0.000962	0.471183
-2.016733	-0.289404	0.285274	0.000913	0.470955
-2.452649	-0.215029	0.290278	0.000994	0.470609
-2.782229	-0.091835	0.295283	0.001055	0.470555
-2.955579	-0.102108	0.300288	0.001087	0.470294
-2.743664	-0.207919	0.305293	0.001048	0.470247
-3.148424	-0.114850	0.310298	0.001123	0.470000
-3.129993	-0.145273	0.315302	0.001119	0.469931
-3.302427	-0.082836	0.320307	0.001151	0.469897
-3.498597	-0.086597	0.325312	0.001188	0.469625
-3.391396	-0.135575	0.330317	0.001168	0.469616
-3.583842	-0.104836	0.335322	0.001203	0.469457
-4.040634	0.040491	0.340326	0.001288	0.469303
-3.932147	-0.003052	0.345331	0.001268	0.469312
-4.122359	0.073924	0.350336	0.001303	0.469300
-4.069939	0.055570	0.355341	0.001293	0.469313
-4.248777	0.067622	0.360346	0.001327	0.469114
-4.163964	-0.001075	0.365350	0.001311	0.469013
-4.238542	0.026703	0.370355	0.001324	0.469001
-4.436112	0.049563	0.375360	0.001361	0.468811
